,Line_1,Line_2,Line_3,Line_4,Line_5,Line_6,Line_7,Line_8,Line_9,Line_10,Line_11,Line_12,Line_13,Line_14,Line_15
1,Ns,,,,,,, S,,,,,,,Ns
2,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,
8,Nr,D,D,D,D,D,D,D,D,D,D,D,D,D,Nr
9,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,
13,Ps,,,,,Pr,C,C,C,Ps,,,,,Pr
14,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,
18,,,Js,,Jr,,,,,,Js,,Jr,,
19,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,
22,Ps,,,,,,,,,,,,,,Pr
23,,,,,,,,VPs,,,,,,,
24,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,
28,Ps,,,,Pr,,C,,C,,Ps,,,,Pr
29,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,
34,,C,,Ps,,,Pr,,Ps,,,Pr,,C,
35,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,
40,Ps,,Pr,,,Ps,Pr,,Ps,Pr,,,Ps,,Pr
41,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,
46,,,Ps,,,Pr,C,,C,Ps,,,Pr,,
47,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,
52,,,Ps,,,,Pr,,Ps,,,,Pr,,
53,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,
55,,,,,,,,VPr,,,,,,,
56,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,
58,Ps,,,,,,Pr,,Ps,,,,,,Pr
59,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,
62,,,,,,Js,Jr,,Js,Jr,,,,,
63,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,
66,,C,Ps,,,,,,,,,,Pr,C,
67,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,
71,Ps,,,Pr,,,,,,,,Ps,,,Pr
72,,,,,,,,,,,,,,,
73,Ps,,,,Pr,,,,,,Ps,,,,Pr
74,,,,,,,,,,,,,,,
75,Ps,,,,,Pr,,,,Ps,,,,,Pr
76,,,,,,,,,,,,,,,
77,Ps,,,,,Pr,,,,Ps,,,,,Pr
78,,,,,,,,,,,,,,,
79,Ps,,,,,Pr,D,D,D,Ps,,,,,Pr
80,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,
86,,,,,,C,,,,C,,,,,
87,,,,,D,D,D,,D,D,D,,,,
88,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,
94,,,,C,,,,,,,,C,,,
95,,,D,D,D,,,,,,D,D,D,,
96,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,
103,,,C,,,,,,,,,,C,,
104,,D,D,,,,,,,,,,D,D,
105,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,
111,,,,C,,,,,,,,C,,,
112,,,,D,,,,,,,,D,,,
113,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,
