,Line_1,Line_2,Line_3,Line_4,Line_5,Line_6,Line_7,Line_8,Line_9,Line_10,Line_11,Line_12,Line_13,Line_14,Line_15
1,Ns,,,,,,,,,,,,,,Ns
2,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,
10,,,,C,,,,,,,,C,,,
11,,,Js,,Jr,,,,,,Js,,Jr,,
12,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,
16,Nr,Ps,,,,,,,,,,,,Pr,Nr
17,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,
23,,,,,,,,C,,,,,,,
24,,,,,,,Js,,Jr,,,,,,
25,,,,,,,,,,,,,,,
26,Ps,,,,,,,,,,,,,,Pr
27,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,
30,,,,,,C,,,,C,,,,,
31,,,,,,J,,,,J,,,,,
32,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,
36,Ps,,,,,,,,,,,,,,Pr
37,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,
42,Ps,,,,,,Pr,C,Ps,,,,,,Pr
43,Ps,,,,,,Pr,VDs,Ps,,,,,,Pr
44,Ps,,,,,,Pr,,Ps,,,,,,Pr
45,Ps,,,,,,Pr,,Ps,,,,,,Pr
46,Ps,,,,,,Pr,,Ps,,,,,,Pr
47,Ps,,,,,,Pr,,Ps,,,,,,Pr
48,Ps,,,,,,Pr,VDr,VDs,Ps,,,,,Pr
49,Ps,,,,,,,Pr,,Ps,,,,,Pr
50,Ps,,,,,,,Pr,,Ps,,,,,Pr
51,Ps,,,,,,,Pr,,Ps,,,,,Pr
52,Ps,,,,,,,Pr,,Ps,,,,,Pr
53,Ps,,,,,,,Pr,VDr,Ps,,,,,Pr
